Query,Monthly Search Volume (Italia),Category,Search Intent,Competition Level,Lokale?
donazione sangue,12100,Azione,Informazionale,Alto,No
donare sangue,8100,Consapevolezza,Informazionale,Alto,No
come donare sangue,6600,Azione,Transazionale,Alto,No
requisiti donazione sangue,4400,Considerazione,Informazionale,Medio,No
benefici donazione sangue,3600,Consapevolezza,Informazionale,Medio,No
dove donare sangue,2900,Azione,Navigazionale,Medio,No
perché donare sangue,2400,Consapevolezza,Informazionale,Medio,No
chi può donare sangue,2200,Considerazione,Informazionale,Medio,No
donazione sangue benefici,1900,Consapevolezza,Informazionale,Medio,No
centro trasfusionale,1700,Azione,Navigazionale,Medio,No
posso donare sangue,1600,Considerazione,Informazionale,Basso,No
effetti donazione sangue,1300,Considerazione,Informazionale,Basso,No
controindicazioni donazione sangue,1100,Considerazione,Informazionale,Medio,No
donazione sangue Frosinone,150,Locale,Navigazionale,Basso,Sì
AVIS Frosinone,120,Locale,Navigazionale,Basso,Sì
ospedale Spaziani donazione,100,Locale,Navigazionale,Basso,Sì
dove donare sangue Frosinone,90,Azione,Navigazionale,Basso,Sì
centro trasfusionale Frosinone,80,Locale,Navigazionale,Basso,Sì
donare sangue Frosinone,70,Locale,Navigazionale,Basso,Sì
AVIS Frosinone contatti,60,Azione,Navigazionale,Basso,Sì
prenotare donazione Frosinone,50,Azione,Transazionale,Basso,Sì
donazione sangue Cassino,45,Locale,Navigazionale,Basso,Sì
donazione sangue Sora,40,Locale,Navigazionale,Basso,N/A (Trends basso)
ASL Frosinone donazione,35,Locale,Navigazionale,Basso,Sì
importanza donazione sangue,1200,Consapevolezza,Informazionale,Basso,No
donazione sangue sicurezza,1100,Consapevolezza,Informazionale,Basso,No
posso donare se ho tatuaggio,1000,Considerazione,Informazionale,Basso,No
procedure donazione sangue,900,Azione,Transazionale,Medio,No
donazione sangue vicino a me,880,Azione,Navigazionale,Medio,No
quanto tempo dura donazione sangue,720,Considerazione,Informazionale,Basso,No
donare sangue fa bene,660,Consapevolezza,Informazionale,Basso,No
esclusioni donazione sangue,590,Considerazione,Informazionale,Basso,No
prenotare donazione sangue,540,Azione,Transazionale,Basso,No
donazione sangue dopo parto,480,Considerazione,Informazionale,Basso,No
fa male donare sangue,450,Consapevolezza,Informazionale,Basso,No
posso donare se ho diabete,420,Considerazione,Informazionale,Basso,No
centri trasfusionali vicino,390,Azione,Navigazionale,Medio,No
iscriversi AVIS,360,Azione,Transazionale,Basso,No
AVIS donazione sangue,290,Azione,Navigazionale,Medio,No
convenzioni AVIS Frosinone,25,Locale,Commerciale,Basso,Sì
partner AVIS Frosinone,20,Locale,Navigazionale,Basso,Sì
become donatore AVIS Frosinone,15,Azione,Transazionale,Basso,Sì